id,path,fake,real
mixed_12299,/home/tdl/deepvoice/CQT_test_nocan/mixed_12299.ogg,1,1
mixed_9077,/home/tdl/deepvoice/CQT_test_nocan/mixed_9077.ogg,1,1
LQGGVYVS,/home/tdl/deepvoice/CQT_test_nocan/LQGGVYVS.ogg,0,1
mixed_6494,/home/tdl/deepvoice/CQT_test_nocan/mixed_6494.ogg,1,1
ZTQEIECE,/home/tdl/deepvoice/CQT_test_nocan/ZTQEIECE.ogg,1,0
mixed_19451,/home/tdl/deepvoice/CQT_test_nocan/mixed_19451.ogg,1,1
GLEPBUFE,/home/tdl/deepvoice/CQT_test_nocan/GLEPBUFE.ogg,0,1
WQTDYHYC,/home/tdl/deepvoice/CQT_test_nocan/WQTDYHYC.ogg,1,0
mixed_10007,/home/tdl/deepvoice/CQT_test_nocan/mixed_10007.ogg,1,1
MVPHJYMD,/home/tdl/deepvoice/CQT_test_nocan/MVPHJYMD.ogg,1,0
CIHHQIKD,/home/tdl/deepvoice/CQT_test_nocan/CIHHQIKD.ogg,0,1
NUERNYTP,/home/tdl/deepvoice/CQT_test_nocan/NUERNYTP.ogg,0,1
FYGFBTZI,/home/tdl/deepvoice/CQT_test_nocan/FYGFBTZI.ogg,1,0
OCAIZHSO,/home/tdl/deepvoice/CQT_test_nocan/OCAIZHSO.ogg,1,0
OGLCHDWR,/home/tdl/deepvoice/CQT_test_nocan/OGLCHDWR.ogg,0,1
TJCYDJLQ,/home/tdl/deepvoice/CQT_test_nocan/TJCYDJLQ.ogg,0,1
mixed_13152,/home/tdl/deepvoice/CQT_test_nocan/mixed_13152.ogg,1,1
UCFBAVCW,/home/tdl/deepvoice/CQT_test_nocan/UCFBAVCW.ogg,1,0
XNSOUNYI,/home/tdl/deepvoice/CQT_test_nocan/XNSOUNYI.ogg,1,0
mixed_11431,/home/tdl/deepvoice/CQT_test_nocan/mixed_11431.ogg,1,1
AHEESOWJ,/home/tdl/deepvoice/CQT_test_nocan/AHEESOWJ.ogg,0,1
JCBTLQSQ,/home/tdl/deepvoice/CQT_test_nocan/JCBTLQSQ.ogg,1,0
mixed_3969,/home/tdl/deepvoice/CQT_test_nocan/mixed_3969.ogg,1,1
mixed_17237,/home/tdl/deepvoice/CQT_test_nocan/mixed_17237.ogg,1,1
mixed_24342,/home/tdl/deepvoice/CQT_test_nocan/mixed_24342.ogg,1,1
KLFLKKXU,/home/tdl/deepvoice/CQT_test_nocan/KLFLKKXU.ogg,1,0
JEIWMTJA,/home/tdl/deepvoice/CQT_test_nocan/JEIWMTJA.ogg,1,0
mixed_6433,/home/tdl/deepvoice/CQT_test_nocan/mixed_6433.ogg,1,1
mixed_9684,/home/tdl/deepvoice/CQT_test_nocan/mixed_9684.ogg,1,1
AVUYNXOI,/home/tdl/deepvoice/CQT_test_nocan/AVUYNXOI.ogg,0,1
NIDQSBRU,/home/tdl/deepvoice/CQT_test_nocan/NIDQSBRU.ogg,1,0
EAJVLKVP,/home/tdl/deepvoice/CQT_test_nocan/EAJVLKVP.ogg,1,0
RXZVORNB,/home/tdl/deepvoice/CQT_test_nocan/RXZVORNB.ogg,1,0
FATDLMKF,/home/tdl/deepvoice/CQT_test_nocan/FATDLMKF.ogg,0,1
UQWDWOOB,/home/tdl/deepvoice/CQT_test_nocan/UQWDWOOB.ogg,0,1
GJKCXCYQ,/home/tdl/deepvoice/CQT_test_nocan/GJKCXCYQ.ogg,1,0
KCODJBBQ,/home/tdl/deepvoice/CQT_test_nocan/KCODJBBQ.ogg,0,1
mixed_26058,/home/tdl/deepvoice/CQT_test_nocan/mixed_26058.ogg,1,1
EDANLSPM,/home/tdl/deepvoice/CQT_test_nocan/EDANLSPM.ogg,0,1
APHADEXS,/home/tdl/deepvoice/CQT_test_nocan/APHADEXS.ogg,0,1
mixed_12107,/home/tdl/deepvoice/CQT_test_nocan/mixed_12107.ogg,1,1
mixed_26273,/home/tdl/deepvoice/CQT_test_nocan/mixed_26273.ogg,1,1
mixed_24741,/home/tdl/deepvoice/CQT_test_nocan/mixed_24741.ogg,1,1
LWOMJBNY,/home/tdl/deepvoice/CQT_test_nocan/LWOMJBNY.ogg,1,0
mixed_246,/home/tdl/deepvoice/CQT_test_nocan/mixed_246.ogg,1,1
mixed_6624,/home/tdl/deepvoice/CQT_test_nocan/mixed_6624.ogg,1,1
OBFZASEN,/home/tdl/deepvoice/CQT_test_nocan/OBFZASEN.ogg,1,0
DKHEJTTX,/home/tdl/deepvoice/CQT_test_nocan/DKHEJTTX.ogg,1,0
DRXRJBXO,/home/tdl/deepvoice/CQT_test_nocan/DRXRJBXO.ogg,1,0
mixed_8344,/home/tdl/deepvoice/CQT_test_nocan/mixed_8344.ogg,1,1
RGLMROJG,/home/tdl/deepvoice/CQT_test_nocan/RGLMROJG.ogg,1,0
